window_s,t_s_center,RR_ms_mean,RR_ms_median,RR_ms_sd,RR_ms_mad
30,15.6875,767.2008547008547,775.0,48.310069711267985,8.333333333333258
30,20.6875,770.7264957264957,770.8333333333334,13.802305467831097,8.333333333333258
30,25.6875,769.9786324786324,770.8333333333334,13.692379506871834,8.333333333333258
30,30.6875,770.6196581196582,770.8333333333334,13.718022290131925,8.333333333333258
30,35.6875,770.940170940171,770.8333333333334,11.52986759480073,8.333333333333258
30,40.6875,766.8803418803419,766.6666666666667,12.999828424303468,8.333333333333258
30,45.6875,762.9166666666667,764.5833333333334,12.43931136504218,6.250000000000114
30,50.6875,766.3461538461537,770.8333333333334,13.224080054860007,8.333333333333258
30,55.6875,765.5982905982906,766.6666666666667,13.131627702758593,8.333333333333258
30,60.6875,764.4230769230769,766.6666666666667,13.54701830305415,8.333333333333258
30,65.6875,764.2708333333334,766.6666666666667,13.306848027085707,8.333333333333258
30,70.6875,765.1709401709402,766.6666666666667,13.018738585438134,8.333333333333258
30,75.6875,759.9358974358975,762.5,17.35464341964773,12.5
30,80.6875,752.2916666666667,754.1666666666666,17.34593353660767,16.66666666666663
30,85.6875,741.7708333333334,745.8333333333334,108.7823023218072,16.666666666666742
30,90.6875,737.5,737.5,119.53323573150884,16.66666666666663
30,95.6875,729.4871794871794,733.3333333333333,134.04457735376218,12.5
30,100.6875,721.6666666666667,729.1666666666666,152.79199827491664,8.333333333333371
30,105.6875,716.6666666666666,729.1666666666666,191.9608249964908,8.333333333333371
30,110.6875,697.2222222222223,572.9166666666666,295.91743718414045,49.99999999999994
30,130.6875,575.0,575.0,29.462782549439456,20.833333333333314
30,135.6875,619.4444444444443,595.8333333333334,143.2660937246183,54.16666666666663
30,140.6875,634.0686274509803,595.8333333333334,139.57738866474966,54.16666666666674
30,145.6875,641.6666666666666,608.3333333333333,125.36405319441985,62.5
30,150.6875,626.0057471264367,608.3333333333333,124.54109797508022,66.66666666666663
30,155.6875,639.3518518518518,608.3333333333333,140.04833506758598,72.91666666666657
30,160.6875,663.9880952380952,629.1666666666667,151.71451667611487,93.75000000000006
30,165.6875,676.6260162601626,650.0,154.0705726665174,104.16666666666674
30,170.6875,677.3958333333333,654.1666666666667,163.54144550586602,102.08333333333331
30,175.6875,698.931623931624,683.3333333333334,176.84831656825133,112.50000000000011
30,180.6875,723.6111111111111,695.8333333333333,166.08553836018913,70.83333333333331
30,185.6875,718.2539682539683,700.0,154.6532980542123,45.833333333333314
30,190.6875,707.4404761904761,704.1666666666667,139.4480011168531,39.58333333333337
30,195.6875,720.1219512195123,708.3333333333334,136.16747768215353,33.33333333333337
30,200.6875,725.0,704.1666666666667,126.97958246562176,35.41666666666674
30,205.6875,724.7967479674796,708.3333333333334,142.87764050342713,37.500000000000114
30,210.6875,712.4999999999999,695.8333333333333,136.48298123453586,41.66666666666663
30,215.6875,739.329268292683,695.8333333333333,150.5489053421811,41.66666666666674
30,220.6875,751.7708333333334,700.0,158.87471406274358,45.83333333333337
30,225.6875,727.5793650793652,691.6666666666666,156.65280702444673,52.08333333333326
30,230.6875,725.1016260162602,700.0,158.5811870499741,58.33333333333326
30,235.6875,725.0,727.0833333333333,129.6656373399486,50.00000000000006
30,240.6875,727.0833333333334,743.75,133.12117902960847,47.916666666666686
30,245.6875,699.9031007751938,741.6666666666667,116.35263991656183,41.66666666666663
30,250.6875,704.84496124031,725.0,130.72197968468674,54.16666666666663
30,255.6875,718.7500000000001,731.25,133.88241235783505,52.08333333333337
30,260.6875,739.939024390244,720.8333333333334,136.84495360777203,54.16666666666663
30,265.6875,730.4878048780488,691.6666666666666,144.69027932412843,50.000000000000114
30,270.6875,726.219512195122,683.3333333333334,162.05399237010306,54.16666666666674
30,275.6875,737.2916666666666,683.3333333333334,163.1819189592207,29.166666666666742
30,280.6875,734.8958333333333,679.1666666666667,162.25103517463967,25.000000000000114
30,285.6875,743.75,687.5,174.01022500002233,35.416666666666686
30,290.6875,729.369918699187,679.1666666666667,169.86757306222037,29.166666666666742
30,295.6875,751.25,689.5833333333333,180.27064964243934,39.58333333333326
30,300.6875,771.9017094017094,695.8333333333333,167.65528595687564,41.66666666666663
30,305.6875,763.125,702.0833333333334,164.71223179228159,45.833333333333314
30,310.6875,735.4674796747968,695.8333333333333,160.21394645352,45.83333333333326
30,315.6875,737.8048780487806,704.1666666666667,148.76047536615803,50.000000000000114
30,320.6875,752.8125,722.9166666666667,146.8429262730716,50.00000000000006
30,325.6875,726.4227642276422,720.8333333333334,130.83800998839587,37.499999999999886
30,330.6875,706.9767441860465,712.5,120.77763128484065,41.66666666666663
30,335.6875,716.6666666666666,704.1666666666667,128.0733296895875,37.500000000000114
30,340.6875,727.6785714285713,704.1666666666667,122.860488845351,31.250000000000114
30,345.6875,741.1458333333333,704.1666666666667,145.69189569849863,29.166666666666742
30,350.6875,731.910569105691,700.0,140.24287512879303,29.16666666666663
30,355.6875,733.3333333333333,687.5,148.30641141456647,25.0
30,360.6875,745.2083333333333,695.8333333333333,158.28707713889273,27.083333333333314
30,365.6875,729.6626984126984,695.8333333333333,161.15690097490818,33.33333333333337
30,370.6875,729.1666666666665,691.6666666666666,166.29124383976975,37.5
30,375.6875,704.84496124031,691.6666666666666,144.5090960106889,37.5
30,380.6875,698.7403100775192,691.6666666666666,146.45427579028222,41.66666666666663
30,385.6875,717.7579365079365,693.75,157.60169944255946,41.666666666666686
30,390.6875,719.8170731707318,691.6666666666666,150.81601099830786,37.5
30,395.6875,734.0625,691.6666666666666,159.40060754557186,35.41666666666663
30,400.6875,730.9959349593496,704.1666666666667,149.80904738201482,41.66666666666674
30,405.6875,724.1869918699188,708.3333333333334,143.7868899289749,45.83333333333337
30,410.6875,736.6869918699188,720.8333333333334,132.7631673482372,50.0
30,415.6875,723.678861788618,733.3333333333333,109.20100853118363,37.500000000000114
30,420.6875,720.2380952380952,739.5833333333334,106.15608964974702,33.333333333333314
30,425.6875,714.8809523809524,743.75,79.62343016379769,22.916666666666686
30,430.6875,731.0416666666667,747.9166666666667,87.9032729701255,14.583333333333485
30,435.6875,754.7916666666666,754.1666666666666,108.63104228340232,18.750000000000057
30,440.6875,748.3333333333333,745.8333333333334,122.999664141482,27.083333333333314
30,445.6875,761.0416666666667,747.9166666666667,143.8666224562878,89.58333333333337
30,450.6875,776.388888888889,720.8333333333334,154.99815285323317,62.5
30,455.6875,781.359649122807,685.4166666666667,158.21396888209057,43.74999999999994
30,460.6875,761.6666666666667,666.6666666666666,160.4342175991088,20.833333333333258
30,465.6875,735.670731707317,658.3333333333334,150.4768138645955,20.83333333333337
30,470.6875,721.1382113821138,658.3333333333334,141.85768446677972,16.66666666666663
30,475.6875,700.6944444444443,654.1666666666666,123.40416509568455,18.75
30,480.6875,701.3565891472867,654.1666666666666,121.6438366349224,16.66666666666663
30,485.6875,713.856589147287,650.0,132.561384310482,16.666666666666742
30,490.6875,726.0162601626016,654.1666666666666,141.21797967876768,20.83333333333337
30,495.6875,729.369918699187,654.1666666666666,139.28123782973108,16.66666666666663
30,500.6875,749.8958333333334,658.3333333333334,152.1231726884613,16.66666666666663
30,505.6875,756.6666666666667,662.5,150.99621700512085,16.66666666666663
30,510.6875,759.1880341880342,662.5,152.50461204552698,16.66666666666663
30,515.6875,750.0,660.4166666666667,147.74238860365494,10.416666666666742
30,520.6875,754.7916666666667,666.6666666666666,149.78780694122636,16.66666666666663
30,525.6875,778.6184210526314,685.4166666666667,160.20166958174588,27.08333333333337
30,530.6875,765.0641025641024,687.5,163.3374042429697,29.16666666666663
30,535.6875,764.4230769230768,687.5,168.84228620619902,33.33333333333337
30,540.6875,735.1626016260163,683.3333333333334,156.43891019165028,25.0
30,545.6875,734.5528455284552,687.5,172.9624535324887,45.83333333333326
30,550.6875,715.9722222222223,679.1666666666667,167.08513691083684,47.9166666666668
30,555.6875,708.8178294573644,670.8333333333333,163.0693356198988,45.83333333333326
30,560.6875,722.2222222222222,672.9166666666666,171.0220221744966,72.91666666666669
30,565.6875,735.060975609756,687.5,177.67053527721205,54.16666666666674
30,570.6875,769.8717948717949,700.0,191.73926337401073,95.83333333333337
30,575.6875,770.4059829059829,700.0,175.60410265621815,54.16666666666663
30,580.6875,763.0341880341879,700.0,175.0631138465771,50.0
30,585.6875,749.9999999999999,700.0,173.01736075465698,43.75
30,590.6875,729.7764227642276,695.8333333333333,153.44018292407094,29.166666666666742
30,595.6875,711.904761904762,681.25,140.92215721495103,37.49999999999994
30,600.6875,693.9922480620154,670.8333333333333,125.50922178585725,37.5
30,605.6875,693.1201550387597,650.0,127.53994770796739,20.833333333333258
30,610.6875,716.9791666666667,652.0833333333333,146.09526995225292,18.75
30,615.6875,722.7864583333334,650.0,143.99565800387708,16.666666666666742
30,620.6875,737.3333333333335,650.0,159.74552970039338,16.666666666666742
30,625.6875,753.7037037037038,647.9166666666667,170.1948187382476,20.833333333333314
30,630.6875,771.5909090909091,670.8333333333333,185.70266502659513,75.00000000000011
30,635.6875,827.0833333333334,872.9166666666667,239.46555075835022,145.83333333333331
30,685.6875,1214.583333333333,1214.583333333333,191.50808657135687,135.41666666666686
30,690.6875,1214.583333333333,1214.583333333333,191.50808657135687,135.41666666666686
30,695.6875,1214.583333333333,1214.583333333333,191.50808657135687,135.41666666666686
30,700.6875,1214.583333333333,1214.583333333333,191.50808657135687,135.41666666666686
30,705.6875,1214.583333333333,1214.583333333333,191.50808657135687,135.41666666666686
30,710.6875,772.2222222222222,606.25,357.0390060649561,110.41666666666663
30,715.6875,577.4305555555555,558.3333333333334,79.74189608720431,58.33333333333337
30,720.6875,633.9912280701755,633.3333333333333,115.564095219768,112.50000000000011
30,725.6875,650.3205128205129,641.6666666666667,119.04669413560117,116.66666666666669
30,730.6875,646.3235294117648,637.5,119.48157473986224,114.58333333333331
30,735.6875,662.6016260162601,683.3333333333334,114.97843927141284,104.16666666666663
30,740.6875,683.0492424242425,735.4166666666666,112.16177166338156,64.58333333333337
30,745.6875,711.5079365079365,745.8333333333334,101.89519133293955,47.91666666666663
30,750.6875,699.9031007751938,741.6666666666667,103.73118642807147,54.166666666666515
30,755.6875,696.124031007752,737.5,100.59099235067846,66.66666666666674
30,760.6875,689.6317829457365,716.6666666666666,98.11118003740818,66.66666666666674
30,765.6875,696.2209302325581,725.0,103.39321562978638,75.0
30,770.6875,682.2674418604652,670.8333333333333,109.14338864584995,112.49999999999989
30,775.6875,685.8901515151515,689.5833333333333,109.72281227632946,104.16666666666669
30,780.6875,696.0271317829457,741.6666666666667,111.26584026241983,70.83333333333326
30,785.6875,698.8372093023256,750.0,119.07701971762144,45.83333333333326
