window_s,t_s_center,RR_ms_mean,RR_ms_median,RR_ms_sd,RR_ms_mad
30,15.679166666666667,774.7807017543859,775.0,12.665843101673607,8.333333333333258
30,20.679166666666667,770.7264957264956,770.8333333333334,13.802305467831102,8.333333333333258
30,25.679166666666667,770.0854700854701,770.8333333333334,13.848061900986547,8.333333333333258
30,30.679166666666667,770.6196581196582,775.0,13.817574447880926,8.333333333333258
30,35.67916666666667,770.9401709401709,770.8333333333334,11.648136109430194,8.333333333333258
30,40.67916666666667,766.9871794871794,766.6666666666667,12.979988230616252,8.333333333333485
30,45.67916666666667,762.9166666666666,764.5833333333334,12.403473458920855,10.416666666666629
30,50.67916666666667,766.3461538461538,770.8333333333334,13.154801705735789,8.333333333333258
30,55.67916666666667,765.4914529914531,766.6666666666667,12.858482348282589,8.333333333333258
30,60.67916666666667,764.5299145299145,766.6666666666667,13.514118229206472,8.333333333333485
30,65.67916666666667,764.375,766.6666666666667,13.30893868807161,8.333333333333485
30,70.67916666666667,765.0641025641025,766.6666666666667,13.197477573574183,8.333333333333258
30,75.67916666666667,760.4700854700855,766.6666666666667,35.726480256428445,12.499999999999886
30,80.67916666666667,752.3958333333333,756.25,36.07683489972156,12.500000000000057
30,85.67916666666667,774.1898148148149,752.0833333333333,190.07835540872443,14.583333333333485
30,90.67916666666667,777.0114942528735,750.0,212.33251070257444,16.666666666666742
30,95.67916666666667,780.1136363636364,737.5,245.07696332650877,12.5
30,100.67916666666667,789.5833333333333,733.3333333333333,289.3359254876203,10.416666666666572
30,105.67916666666667,832.4074074074074,733.3333333333333,383.9203938672188,4.1666666666667425
30,110.67916666666667,1189.5833333333333,1189.5833333333333,922.1850937974556,652.0833333333333
30,135.67916666666667,7473.809523809525,633.3333333333333,18013.16788065222,170.83333333333326
30,140.67916666666667,4108.9285714285725,635.4166666666666,12727.106127775784,150.0
30,145.67916666666667,2854.1666666666665,635.4166666666666,10157.034452814532,110.41666666666663
30,150.67916666666667,2695.333333333334,633.3333333333333,9524.26005984192,120.83333333333326
30,155.67916666666667,2266.6666666666665,635.4166666666666,8420.90392914389,110.41666666666663
30,160.67916666666667,2034.7587719298244,637.5,7727.4892412749505,122.91666666666663
