beat_index,beat_time_sec,ch0.r_amp,ch0.s_amp,ch0.rs_ratio,ch0.qrs_max_slope,ch0.qrs_area,ch0.qrs_energy,ch0.st_j,ch0.st_60ms,ch0.st_80ms,ch0.t_peak_amp,ch0.t_area,ch0.qrs_notches,ch0.qrs_is_fragmented,ch0.waveE_L1,ch0.waveE_L2,ch0.waveE_L3,ch0.waveE_L4,ch0.waveE_L5,morph_corr_allleads,ST60_max_abs,ST60_max_lead,ST80_max_abs,ST80_max_lead
0,8.13,256.6510377632576,-78.76347090619295,3.2585034002491864,34207.16151390732,5.250673302166169,356642.86836485745,-5.954176007578866,36.82961697839612,63.102912679980115,258.55230908952626,2.088521964143625,1.0,0.0,,,,,,0.5346339719610117,36.82961697839612,ch0.st_60ms,63.102912679980115,ch0.st_80ms
1,18.122,271.0410565941096,-76.04674684284315,3.5641374266046935,35601.829849182155,5.413725507677626,391039.0561896881,0.22937063482453013,21.081678941566476,34.7102439856361,236.8494946224461,3.922402061550819,1.0,0.0,,,,,,0.5998030670748552,21.081678941566476,ch0.st_60ms,34.7102439856361,ch0.st_80ms
2,26.55,268.14368468900057,-67.09605708197269,3.996414936296535,33973.58601992933,5.285770947601136,389487.930029177,1.3705492543593643,24.35213619212489,44.264928129918275,277.6636073967062,6.148801325370377,2.0,1.0,,,,,,0.5090548525369185,24.35213619212489,ch0.st_60ms,44.264928129918275,ch0.st_80ms
3,26.916,271.0404176871362,-79.88600648603659,3.39283974264644,35835.10007060584,5.442768256291229,394227.0006785001,2.8965370407682336,38.02406142215976,65.37800487421127,178.69327663771625,-14.52784216371717,1.0,0.0,,,,,,0.6426590741128111,38.02406142215976,ch0.st_60ms,65.37800487421127,ch0.st_80ms
4,33.56,274.5002718384896,-80.22643139277304,3.4215690150118925,36255.21422025273,5.482926877922817,400585.99414370145,-2.5622567712726365,18.303735551604735,37.38890745765936,254.09690431709956,3.9104908496014272,1.0,0.0,,,,,,0.5713908827066719,18.303735551604735,ch0.st_60ms,37.38890745765936,ch0.st_80ms
5,35.04,268.0490250518392,-75.78099428273822,3.5371537096986434,34896.84037173294,5.429261688453252,386837.6377023033,-5.457342339600251,12.304077992385341,27.789587666287197,214.03092646465245,0.7112098162702951,2.0,1.0,,,,,,0.6155665134020732,12.304077992385341,ch0.st_60ms,27.789587666287197,ch0.st_80ms
6,40.514,198.83231470843353,-49.37056738749739,4.027345141647812,26699.47512147072,5.306832574526235,251785.84887500736,6.438521242295179,-105.2912064041062,-28.498857342794317,187.24665124769726,-4.36074464696519,1.0,0.0,,,,,,0.5146739271453256,105.2912064041062,ch0.st_60ms,28.498857342794317,ch0.st_80ms
7,42.352,456.74748779328945,196.51303097125012,2.3242605619375523,30574.97422071484,20.82113689877937,2827034.459023706,196.51303097125012,133.90311224890698,78.52482548487784,371.03996475263,21.88736217747785,0.0,0.0,,,,,,0.41572108323548146,133.90311224890698,ch0.st_60ms,78.52482548487784,ch0.st_80ms
8,42.688,351.57750849038496,351.57750849038496,1.0,37541.06364252133,15.37896497515903,1646590.810070878,351.57750849038496,8.566449976517866,-39.29339711531136,353.59543883867644,-1.5391468614808226,1.0,0.0,,,,,,0.305983656279137,8.566449976517866,ch0.st_60ms,39.29339711531136,ch0.st_80ms
9,44.034,118.40356253325461,-227.265266665723,0.5209927776047297,34670.79982370879,11.191749255619753,752172.3075459135,-96.34855502440972,-88.79705514430579,-11.755938109403388,368.84021767155593,11.937478180978898,3.0,1.0,,,,,,-0.1291022581265062,88.79705514430579,ch0.st_60ms,11.755938109403388,ch0.st_80ms
