t_start_s,t_end_s,hr_bpm_mean,hr_bpm_median,hr_bpm_min,hr_bpm_max,pct_time_hr_lt_50,sdnn_ms,rmssd_ms,pnn50_pct,pnn20_pct,triangular_index,num_beats_used,vlf_power_ms2,lf_power_ms2,hf_power_ms2,total_power_ms2,lf_nu,hf_nu,lf_hf_ratio,hf_peak_hz,resp_rate_bpm_from_hf_peak,sd1_ms,sd2_ms,sd1_sd2_ratio,sampen_m2_r02,dfa_scales_beats,dfa_Fn,dfa_alpha1,dfa_alpha2
0.0,300.0,83.66427218888708,80.89887640449437,73.09644670050763,118.03278688524591,0.0,59.21527099640851,51.81240810047275,16.911764705882355,37.86764705882353,8.806451612903226,273,29821789.36726837,4080540.324724667,967300.2543648628,40920775.72298855,36.764981899645655,8.715212573140397,4.218483667621883,0.15625,9.375,2154.2094355698055,2169.0584373920383,0.9931541716137042,0.03011694583521978,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[155.59186699023064, 121.95713225907815, 250.36941752422058, 274.1680931648175, 327.48839355846155, 359.98158571286797, 251.14829474536523, 453.3993164450061, 475.2713441635844, 322.5993911215344, 516.9450519042365, 596.8466401597788, 568.8649901303824, 665.7288615906075, 714.7863869519169, 774.7046649102203, 767.2694131122281, 829.1878155627119, 804.7661508155131, 883.8554960110237, 926.588907583587, 915.1068105374444, 553.0571131242685, 1046.9648030501378, 898.7845727628556, 1044.089179830982, 1131.690315415646, 1216.7817443264437, 849.1974221963178, 1185.0549908158891, 1261.1823837418674, 1255.957462153925, 1395.2281846746644, 1082.2877851901076, 1356.7796056124232, 1418.833924137039, 1539.7020470211332, 1520.3954958752856, 1491.5788649927558, 1256.1436051762216, 1246.3277757666096, 1482.0413792492716, 1791.6403709144454, 1807.067397269162, 1735.2721088617543, 1663.4393772263631, 1643.9645215151736, 1907.146443648834, 1940.5833386381719, 1966.3484029397923, 1944.0611241133768, 1761.5609251974536, 1507.827893054845, 1919.7594997697477, 2045.1880702444232, 2449.4384474863405, 2407.3357460704306, 2321.458806627931, 2205.1321776006653, 2057.6975159184026, 1835.2692526685328]",1.0046119456379334,0.9390201192295772
60.0,360.0,86.03306366150659,85.20710059171597,73.09644670050763,118.03278688524591,0.0,57.30149920624222,61.147531766985935,22.529644268774703,53.359683794466406,13.368421052631579,254,25104592.04463736,3587941.1211160654,838918.4737095446,34499842.39545256,38.18888254323899,8.92917636448883,4.276865075161409,0.15625,9.375,2149.0051328119634,2164.706530619739,0.9927466390544494,0.044663337494921705,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[112.0098842257508, 230.1800828624016, 246.02892487463873, 300.1166492545349, 213.9118795735738, 391.1009582360222, 406.2613576264373, 449.6716309230119, 510.8063281354036, 501.61820557932583, 580.9000925067241, 619.2776007645797, 416.33277615050315, 436.7885990023059, 742.65310302187, 474.3043772131935, 810.5411866201677, 816.217263772651, 897.7862315823824, 953.1463912784685, 968.7772621084576, 864.0978001091042, 903.7863476746435, 1060.6067572561883, 1160.5853930759342, 1109.7879031819969, 1227.523100832969, 1222.1585864996987, 1143.104778508381, 1316.7985654371369, 1142.840543341882, 1287.8492377952864, 1364.9193889193773, 1457.4838364856666, 857.7140507679023, 1492.4413422818589, 1601.1848982709528, 1596.5856688404883, 1664.8726333261839, 1523.2862914106731, 1562.2844768766245, 1837.2971633608497, 1722.5764111122364, 1650.9866699709958, 1633.846971854325, 1589.7925916352917, 1327.1234929820582, 892.2759012244751, 1641.6365204119172, 1808.557376681694, 1835.6127347769414, 1851.2756788864692, 1918.2195783074812, 2006.1124176030337, 2088.1641264925524, 2098.0292280214617, 1392.8295582433334, 1861.7154175925261, 2386.5376352067747, 2514.2485761191783, 2517.230084066014]",1.0174863424049976,0.9546663604155828
120.0,420.0,87.17740042025142,86.22754491017965,71.2871287128713,118.03278688524591,0.0,55.45568531199418,68.00640704504947,29.629629629629626,64.44444444444444,12.904761904761905,271,2207.0544602667214,5956.8402276756005,10252.958806495886,19932.286579608586,33.60655695546839,57.843862001151486,0.5809874339787235,0.1875,11.25,1473.2215827912698,2524.391381386759,0.5835947601682765,0.05966951675825856,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[56.81645336661649, 67.76329318347271, 80.00428997855977, 95.29248374231246, 104.06378413762182, 107.2971725066283, 121.43879752054004, 134.82448142903664, 136.94244240649252, 149.3923500701791, 150.39151510261203, 156.4096196918771, 168.2136781856335, 173.7393236754552, 165.71249529217877, 173.24912818124213, 173.36232602785762, 191.66782749479532, 200.08416111873498, 199.61508791793153, 194.27033472829262, 210.67405450661627, 202.12208916761506, 211.8550342355329, 225.9333327198227, 221.8806019816323, 228.1178582725173, 241.90382869478722, 227.21917778043453, 243.10129939516654, 249.48031532879494, 266.2405320060013, 262.07904960259043, 246.94606676856898, 250.42784611003444, 244.08926055858885, 256.2789079140739, 274.9969684471394, 270.81830680999104, 283.4022564934576, 276.0727377344575, 268.55091956536177, 285.63676496509436, 282.62371136041367, 290.4775205652411, 275.10715088153876, 288.31979804970035, 300.1891248313623, 312.38981646623836, 308.2664416355372, 300.4409458486238, 305.51730394414966, 302.79294275957517, 305.45941608429297, 301.0614894628903, 298.78155691425843, 305.68567200595174, 321.9404827938417, 318.1061499114445, 315.12675585520304, 317.7347669689461]",0.7743313937861468,0.4900404891430514
180.0,480.0,86.84418737069697,86.74698795180723,58.77551020408164,118.03278688524591,0.0,58.28878687247374,65.2604179446136,23.624595469255663,54.36893203883495,14.761904761904763,310,563.5021930211601,4499.5752805802495,5878.20390478813,12158.44241376499,38.806368941258725,50.69628469728355,0.7654677097735739,0.1875,11.25,135.9759401541795,146.8870899399734,0.9257174351384262,1.1121075881446647,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[47.18220225573094, 63.99415039660789, 71.66585339592028, 82.76746809403815, 92.7124719378953, 100.76033384518188, 104.2158154010952, 116.17010303346638, 125.8250124606339, 127.04356700253598, 143.06807605188555, 145.80255269792238, 150.86110510358253, 156.41971011322474, 161.35748965928104, 168.73697582504127, 175.86339575415036, 179.1736254661369, 184.11587183388613, 193.14343780397263, 196.28515858171465, 195.65113668215832, 203.15367226110519, 207.5363157439869, 207.60655549020274, 210.0823074941038, 218.43067846166448, 224.2952535521069, 230.27827438635504, 231.2778676617173, 228.53498726568637, 220.95217820233003, 249.49708772691702, 253.1151307080434, 253.2611019225616, 247.26288717130438, 268.3824456647793, 279.83690618339205, 276.10992357558723, 276.5903646927065, 267.3924695243212, 288.07054424315174, 284.73540257990817, 285.27364320755237, 285.38600297940707, 284.85160570954, 298.6472694118457, 311.2780064918665, 310.03219094608454, 308.12339067108434, 308.8339793163702, 300.68838884921115, 283.92452688987, 296.3906504684048, 300.718092235851, 283.1519601302279, 307.66952110450495, 314.66036650599585, 324.8457328090446, 328.15105588031435, 332.8913534677765]",0.8016759483985565,0.5491090759087099
240.0,540.0,87.33533546307464,87.80487804878048,58.77551020408164,117.07317073170732,0.0,60.90943415007077,75.29358375155762,21.262458471760798,47.50830564784053,8.628571428571428,302,809.5360372543342,3775.362770530625,6333.927491366914,12416.407867663283,32.52696183513906,54.57049568491487,0.5960539926730153,0.171875,10.3125,139.604240156708,150.8724832254651,0.9253128017259599,1.0632226273621055,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[50.51500664265247, 62.373042751462584, 76.39604423182284, 87.1439459674281, 98.03395217247134, 105.31278198550726, 114.57734304142828, 115.10193393415426, 127.10672993371102, 133.27463469346227, 143.99104325958604, 135.4607503369563, 143.1651748254106, 146.31021599159766, 163.2381874853941, 163.98695491577132, 173.2036552757115, 174.02878464902165, 182.12666318899196, 188.96954202573022, 176.4138630467769, 193.63945769056846, 204.20968246289365, 201.6564508393796, 207.384816879454, 218.73138817211185, 213.571778872659, 229.12081689921075, 226.40605892212906, 220.97274442602762, 219.703946586577, 238.38669180024718, 235.55525371290753, 254.32758137103517, 238.03544520389218, 250.70441566337973, 261.4325250476569, 273.8549362770072, 261.13253800975843, 268.5231767304865, 268.59497857625405, 260.58287493354925, 276.66699258730307, 286.87639260186916, 278.3656038775403, 269.71928135909786, 274.405395283072, 265.6575454726513, 285.0009987749444, 303.24327560673834, 305.4028396974936, 318.38629816287374, 315.3457061718094, 311.6916968709103, 311.7314413060118, 324.226333836616, 328.13118772061165, 331.4549968261995, 324.32312892034344, 317.6637010551056, 314.4792486692725]",0.7455241451259007,0.57685007403011
300.0,600.0,87.63648071452398,87.80487804878048,58.77551020408164,117.07317073170732,0.0,64.34183660565593,78.55669305428376,23.25581395348837,48.837209302325576,9.4375,302,816.0079508122202,3556.2875032238517,7149.968955781748,13191.307147672633,28.736982004653868,57.77613003163334,0.4973850271542923,0.171875,10.3125,139.41802189103757,154.75110229229188,0.9009177952587802,1.0347165908605407,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[48.65504624972584, 62.11054884629367, 76.09252132953095, 90.38825786017799, 94.9800043711183, 104.27362095326724, 114.62902911996373, 125.5454955700999, 120.8731947787214, 125.62475316561678, 131.78753900511754, 147.65646961940092, 147.38923633390618, 154.47874413683599, 157.44913751126228, 157.72368389807386, 165.03990500023974, 171.12318063588316, 177.00110624034005, 173.94025812411323, 180.02611318746654, 192.76660120269133, 197.10616852018254, 192.39187791557427, 208.5541293415598, 215.27635452992666, 225.60985768376162, 206.83545582475665, 212.32514486258773, 244.31419433786348, 262.9887498615606, 242.99968590553146, 241.21211349504574, 245.9722337982253, 261.25708511189856, 254.4014803954848, 281.24962907371685, 278.49938166901643, 279.6577394791386, 286.47532731961, 285.40478284014523, 298.915031443818, 288.3948717903141, 298.7435782037505, 300.25778276421596, 314.1681294029282, 327.92438364955086, 331.5566683527566, 308.3704019605305, 340.20767893404474, 357.267712873454, 355.008057457293, 343.29075286443424, 350.9542160024529, 356.2402252335857, 351.6141100044703, 352.8164385041587, 354.3977609224533, 351.5067727814123, 370.222370535093, 380.2039331447063]",0.7599516411677254,0.7091279408370105
360.0,660.0,88.25073546241096,89.44099378881988,58.77551020408164,114.28571428571429,0.0,69.33894487688197,83.18721101444666,23.166023166023166,43.24324324324324,8.666666666666666,260,1078.9156931244627,3161.205628452567,7396.290333068852,13225.737144795225,26.024961682611643,60.89074711846953,0.42740421023209435,0.171875,10.3125,143.84563761309363,154.34463212569287,0.9319769377917255,0.9097475444249592,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[49.43301259185383, 70.03415149646631, 75.30552017353328, 86.31222621217006, 94.44874299463422, 103.24575599705307, 108.23765376446453, 113.7854439259553, 122.91795695268772, 128.81494059256008, 136.71654676176132, 134.4924715784792, 148.22076142397452, 151.43237241160878, 153.7602918557651, 164.5065397708455, 154.92773870370002, 167.71918259203485, 177.1404939965732, 169.2221797887572, 181.01588602718408, 197.44424215636445, 195.5958468117428, 188.17848735546278, 199.35092993236097, 212.9740237042106, 202.32397702308916, 229.25156402672428, 249.26182708314337, 238.12982163876995, 220.96201626297707, 243.65359409845618, 243.14661878454183, 258.97416667254913, 258.818514730694, 272.79548095065525, 269.453763335947, 268.9113847319594, 270.047916528824, 271.1759749262215, 273.8932794559274, 295.60045989093993, 304.79552940399606, 317.3249201624943, 301.9615148855367, 299.6678868150701, 310.5529318804746, 317.7512332536409, 337.1034394440862, 347.69207574142587, 355.0918726764997, 354.03189689941837, 349.14558193478183, 339.59871775980264, 333.79569095718557, 356.5466851166062, 348.3300880684791, 345.2142530915256, 350.9809368073014, 353.36842901478843, 358.9895699965318]",0.7143938347058341,0.7044771781154648
420.0,720.0,89.21529083245753,90.56603773584905,58.77551020408164,119.00826446280993,0.0,74.40314517267201,86.0715336545092,19.09547738693467,37.185929648241206,7.6923076923076925,200,68283648.80419572,9006598.108953223,1738164.407657396,90299519.83616413,40.909569718477556,7.89505173396716,5.18167215326416,0.15625,9.375,4358.754659457629,4367.124721443038,0.9980833929600611,0.007349188725390308,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[196.75015474481103, 267.39729049939734, 434.8044581285237, 616.3389170013431, 614.2610295276861, 713.6398868252286, 778.1722139279136, 894.5087353788342, 1028.0744542491711, 1077.1037170645036, 1220.1549050045578, 843.7082368823994, 1375.6888701802588, 1576.2070059158289, 1555.7500744870295, 1016.6280711587921, 1736.0338028539238, 1973.6768794946788, 1099.234096207264, 2048.571384079422, 1172.0083947829216, 2238.3371697183193, 1250.3274027754362, 2062.077199633646, 2308.897979437741, 1369.0862316865134, 2257.479965537006, 2655.2079975759502, 1529.4037414920804, 1573.113865086099, 2970.695059183769, 3105.193347578045, 1851.9429617024086, 1839.3761067455096, 1866.6451230762448, 3536.7412793496187, 3666.133495936105, 2228.1624501882357, 2238.780510580799, 2257.5976795393367, 2281.5051746430045, 3408.323792531966, 4385.723358748491, 4375.363092554552, 2759.325000800861, 2783.0380376391067, 2807.2685668985505, 2812.0979107768226, 2817.9874401356105, 2840.2922514965176, 4099.135665734963, 5229.883352024788, 5438.092274321605, 3541.010640561176, 3555.040608230383, 3569.632420311987, 3584.230814133562, 3601.613420625291, 3618.0783455765545, 3628.1357731139415, 3630.1895290124053]",1.265860854996231,0.8501615856717245
480.0,780.0,88.49895696328417,89.44099378881988,59.25925925925926,119.00826446280993,0.0,81.3681173185025,97.08793474562496,35.12195121951219,59.02439024390244,10.3,206,87190092.1087531,13348553.562901562,2413852.768890349,115928855.46072325,46.447905219228815,8.39929240979282,5.529978354495046,0.171875,10.3125,4327.99210926312,4338.2613100919125,0.9976328763772474,0.007242782622597438,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[340.18573058152134, 443.37983812138776, 338.5089511812263, 514.9730218381486, 605.4868488521688, 746.6026350136873, 869.2217723593819, 931.459428839796, 933.6626634845658, 1098.4154407651517, 1225.9509244182188, 1224.1883185901308, 1418.835559561999, 1334.060778495339, 1536.3976562382093, 1692.3747094916157, 1612.237900362641, 1924.2557952831203, 1724.1293869747371, 1960.663320156705, 2369.085496344399, 1878.3670881609144, 2326.9832071720216, 2418.760192941288, 2410.4827685848195, 2545.598753551713, 2827.3883707252867, 1842.9298230507593, 3217.5471376307023, 2603.925071685749, 2465.0218619617153, 3139.1008451122543, 3759.3317207135956, 2987.899874227412, 3430.9931566793853, 3617.15843245154, 3453.1918044761087, 3351.8822582088987, 3939.460921780992, 4198.86554253681, 4429.970785563314, 4411.44488925239, 3827.323428056831, 3416.3535703090033, 4813.040625489242, 4557.515552362744, 4009.5297583820648, 3913.243135215324, 4453.631752414164, 4733.671708015921, 4943.41150394965, 5132.744136805348, 5289.673266204916, 5404.083156853231, 6722.331073636102, 6593.5924318224115, 6248.720580393385, 5560.61548312485, 3668.483242718463, 5110.869148594251, 5824.877051549654]",1.0865344222855846,1.0602459102372268
540.0,840.0,86.78724222068867,84.21052631578948,62.608695652173914,119.00826446280993,0.0,82.7613689108814,91.21305563542388,43.43891402714932,66.51583710407239,14.8,222,85218804.27958143,15198655.51815556,2712367.4361390397,118223072.06651223,46.05057629599649,8.218232422696246,5.603464823995349,0.171875,10.3125,4261.180945150814,4274.91728537164,0.9967867588297369,0.007014274580881625,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]","[387.013624896154, 327.37314494369923, 491.01243448735715, 361.2302704595991, 535.6246619212227, 570.0928554686806, 806.2118223339386, 899.9759345060744, 1019.6324267351289, 1036.9599149683374, 1064.9017434721488, 1227.4073373190279, 1394.2224132525907, 1331.748566523139, 1339.539626798977, 1462.18725574428, 1630.9071531038373, 1119.3974422545416, 1779.6679312700026, 2102.1297904002076, 1973.8509050001994, 2173.3864247815713, 2301.069217014162, 1217.7297739810297, 2587.1377663134062, 2388.893888626083, 2685.473976439966, 2455.7086746046934, 2680.026210285304, 3247.266325082651, 3048.2622415917203, 2779.6209604137157, 2653.8493910126012, 2909.5228150516323, 3002.785311058305, 3759.6129858202157, 3680.5550684022087, 3435.440871344404, 3316.4827682485925, 3923.0691858143964, 4115.058624511999, 4228.402858062115, 4047.3331852454407, 3334.9489331029745, 3989.4370951894894, 4406.504477141789, 5241.373208624978, 4982.37602464908, 4508.695584134094, 3720.005917332505, 3632.6541097560707, 4151.774035133397, 4703.21746024233, 5066.00082436549, 5290.742126766233, 5385.377916517606, 6553.942571331758, 6197.131263889231, 5381.187186113884, 3817.238818891795, 5554.679295570459]",1.0708035196296501,1.0960661044892586
