scale,sampen
1,1.3791491343286293
2,1.7421276556047915
3,1.7768713565417078
4,1.752195346218444
5,1.769678970973518
6,1.7462392788265872
7,1.6924823125237474
8,1.6743043436600098
9,1.6854826256597901
10,1.6313363533313967
11,1.621436802704368
12,1.576128137143804
13,1.6099831411705436
14,1.5704810355843188
15,1.5947114969007756
16,1.5326319832378335
17,1.5318166972787675
18,1.5189373679275382
19,1.476250209170707
20,1.5025046123951076
