freq_hz,psd_ms2_per_hz
0.0,39116.87331136357
0.015625,38627.457222161844
0.03125,22462.29578493292
0.046875,19197.740425280714
0.0625,16365.620301233874
0.078125,15298.295043830114
0.09375,14274.150680631565
0.109375,13120.72509954922
0.125,11156.031991755948
0.140625,9355.990048546175
0.15625,8531.966813261039
0.171875,7204.835894614647
0.1875,6421.97388044239
0.203125,5634.080667886179
0.21875,4893.722008561425
0.234375,4761.27471816453
0.25,3907.879083548891
0.265625,3873.4255498976486
0.28125,3767.227022901244
0.296875,3404.551983674075
0.3125,3385.5671812641394
0.328125,3650.5318341951242
0.34375,3373.5204524588194
0.359375,3190.066560880799
0.375,3183.00136939217
0.390625,3067.2936432499696
0.40625,3209.9396625269983
0.421875,3347.3623562294206
0.4375,2864.6500586995235
0.453125,2752.323394194696
0.46875,2494.6092754646775
0.484375,2380.0755815107473
0.5,2207.4921473090108
0.515625,1943.6033309979166
0.53125,1795.8490203694896
0.546875,1759.3041472320153
0.5625,1767.253723996014
0.578125,1651.154892571318
0.59375,1670.7264954309896
0.609375,1441.18703637193
0.625,1311.1318608184292
0.640625,1202.630358590299
0.65625,1005.8803566834138
0.671875,1029.4586313012637
0.6875,975.3488711083867
0.703125,885.4455169301345
0.71875,836.9148946918609
0.734375,727.7353286357217
0.75,693.1515189323704
0.765625,623.3669237104407
0.78125,554.8740560290297
0.796875,514.9851750791364
0.8125,467.43087822239835
0.828125,460.7933838770574
0.84375,450.06900837469186
0.859375,372.6632824179705
0.875,331.61154081200203
0.890625,322.0923149509114
0.90625,321.58597455567593
0.921875,271.30795682459666
0.9375,254.33768168025435
0.953125,248.15686755599563
0.96875,219.69751156742146
0.984375,192.88498682143134
1.0,189.01755993824355
1.015625,169.84568261274458
1.03125,160.18118613234805
1.046875,134.49670375594224
1.0625,110.69750015847434
1.078125,92.179072979331
1.09375,89.6129822269536
1.109375,85.97628525102692
1.125,74.51177683036215
1.140625,61.93404842128524
1.15625,51.48457733241135
1.171875,47.69642229753391
1.1875,42.323505907111915
1.203125,36.57545700353214
1.21875,31.829388783069827
1.234375,28.19749350946967
1.25,22.837266021965817
1.265625,19.826048430001673
1.28125,18.57104718287233
1.296875,17.485312976950347
1.3125,15.415797370420607
1.328125,14.845709905293411
1.34375,15.547958817140884
1.359375,15.378602854321885
1.375,14.598014989353459
1.390625,12.838418733034052
1.40625,12.434537546211514
1.421875,12.336374570880512
1.4375,11.366141101863997
1.453125,11.528887970813683
1.46875,10.164996111704927
1.484375,9.474947852874
1.5,8.898815934349056
1.515625,8.377054038035173
1.53125,7.601947318030328
1.546875,7.38481678885982
1.5625,7.0362865269356565
1.578125,6.726895408915542
1.59375,5.98776323590848
1.609375,5.4963630210088885
1.625,5.382127076684127
1.640625,4.730488956178793
1.65625,4.207007531542225
1.671875,4.306822182190069
1.6875,3.8583906208096947
1.703125,3.617868874873527
1.71875,3.615111260446649
1.734375,3.394271938915667
1.75,3.2848201569485185
1.765625,3.2656453861038814
1.78125,2.896106405684394
1.796875,2.4385749605988725
1.8125,2.3089707177009173
1.828125,2.335111994158614
1.84375,2.253425204081675
1.859375,2.0513386869431294
1.875,2.092896251919146
1.890625,2.030643285245377
1.90625,2.102930561628596
1.921875,1.9838256583245115
1.9375,1.8163503413385387
1.953125,1.7084971211357014
1.96875,1.7322788738372854
1.984375,1.6878376452716626
2.0,0.8539014109590992
