window_s,t_s_center,RR_ms_mean,RR_ms_median,RR_ms_sd,RR_ms_mad
30,15.191666666666666,767.4145299145299,775.0,47.6692870061711,8.333333333333258
30,20.191666666666666,771.3675213675214,775.0,13.891137919571413,8.333333333333258
30,25.191666666666666,770.0854700854702,770.8333333333334,13.715460169214932,8.333333333333258
30,30.191666666666666,770.2991452991454,770.8333333333334,13.725705783319933,8.333333333333258
30,35.19166666666666,770.9401709401709,770.8333333333334,11.490174239913758,8.333333333333258
30,40.19166666666666,767.7350427350427,766.6666666666667,13.166373411608642,8.333333333333485
30,45.19166666666666,762.6068376068375,766.6666666666667,12.259647542435616,8.333333333333485
30,50.19166666666666,765.9188034188033,766.6666666666667,12.961925338160032,8.333333333333258
30,55.19166666666666,765.491452991453,766.6666666666667,12.85848234828259,8.333333333333258
30,60.19166666666666,765.0641025641025,766.6666666666667,13.50544699428789,8.333333333333485
30,65.19166666666666,743.9583333333333,762.5,64.25907709113157,12.5
30,70.19166666666666,746.6463414634146,766.6666666666667,110.41752952569745,12.499999999999886
30,75.19166666666666,748.2291666666667,766.6666666666667,117.77513515520248,12.500000000000114
30,80.19166666666666,754.0625,758.3333333333333,137.73286258255575,18.75
30,85.19166666666666,761.6452991452992,754.1666666666666,184.0848320981579,29.16666666666663
30,90.19166666666666,761.2373737373737,754.1666666666666,200.5295854380165,41.66666666666663
30,95.19166666666666,792.4999999999999,754.1666666666666,213.71520726147406,41.66666666666663
30,100.19166666666666,802.7777777777778,754.1666666666666,212.19460946871789,39.583333333333314
30,105.19166666666666,819.0972222222222,756.25,252.74664379805017,70.83333333333331
30,110.19166666666666,820.8333333333334,804.1666666666666,324.19772773211514,270.8333333333334
30,130.19166666666666,15156.944444444445,3566.666666666667,22614.24864765903,2879.166666666667
30,135.19166666666666,5015.833333333334,729.1666666666667,12752.65280439261,97.91666666666663
30,140.19166666666666,2904.1666666666674,616.6666666666667,9303.093476113665,91.66666666666674
30,145.19166666666666,2234.5679012345686,616.6666666666667,7812.1045895504585,99.99999999999989
30,150.19166666666666,1986.2373737373741,608.3333333333333,7068.957339039736,91.66666666666652
30,155.19166666666666,1753.8541666666667,612.5,6423.87536214381,99.99999999999994
30,160.19166666666666,667.1296296296296,600.0,309.9927477338574,91.66666666666663
30,165.19166666666666,663.8888888888889,600.0,307.4169942168671,83.33333333333326
30,170.19166666666666,683.9015151515151,631.25,309.2558884572039,106.25
30,175.19166666666666,682.2916666666669,660.4166666666666,305.5620337873278,87.50000000000006
30,180.19166666666666,653.1481481481482,666.6666666666666,136.75808667308343,79.16666666666674
30,185.19166666666666,654.6195652173915,666.6666666666666,127.20653791259313,72.91666666666663
30,190.19166666666666,648.5507246376811,666.6666666666666,123.82228338897956,75.00000000000006
30,195.19166666666666,645.7446808510638,666.6666666666666,125.88601858505916,75.00000000000011
30,200.19166666666666,662.5,666.6666666666666,140.5397468851622,75.0
