window_s,t_s_center,RR_ms_mean,RR_ms_median,RR_ms_sd,RR_ms_mad
30,15.6875,774.671052631579,775.0,12.718863933658563,8.333333333333258
30,20.6875,770.7264957264957,770.8333333333334,13.802305467831097,8.333333333333258
30,25.6875,769.9786324786324,770.8333333333334,13.692379506871834,8.333333333333258
30,30.6875,770.6196581196582,770.8333333333334,13.718022290131925,8.333333333333258
30,35.6875,770.940170940171,770.8333333333334,11.52986759480073,8.333333333333258
30,40.6875,766.8803418803419,766.6666666666667,12.999828424303468,8.333333333333258
30,45.6875,762.9166666666667,764.5833333333334,12.43931136504218,6.250000000000114
30,50.6875,766.3461538461537,770.8333333333334,13.224080054860007,8.333333333333258
30,55.6875,765.5982905982906,766.6666666666667,13.131627702758593,8.333333333333258
30,60.6875,764.4230769230769,766.6666666666667,13.54701830305415,8.333333333333258
30,65.6875,764.2708333333334,766.6666666666667,13.306848027085707,8.333333333333258
30,70.6875,765.1709401709402,766.6666666666667,13.018738585438134,8.333333333333258
30,75.6875,759.9358974358975,762.5,17.35464341964773,12.5
30,80.6875,752.2916666666667,754.1666666666666,17.34593353660767,16.66666666666663
30,85.6875,773.9583333333333,750.0,189.78991884094054,16.666666666666742
30,90.6875,776.8678160919541,745.8333333333334,212.01387617113136,16.66666666666663
30,95.6875,779.9242424242425,737.5,244.7147552719522,10.416666666666686
30,100.6875,789.0625,733.3333333333333,288.947142897951,4.1666666666667425
30,105.6875,834.2592592592594,733.3333333333333,388.89074900348794,4.1666666666667425
30,110.6875,1187.5,1187.5,942.8090415820634,666.6666666666667
30,135.6875,10255.0,791.6666666666666,21279.679722618534,141.66666666666663
30,140.6875,5229.924242424241,875.0,14295.43436951572,237.5
30,145.6875,3304.824561403509,750.0,10904.831570816752,125.0
30,150.6875,3062.8787878787884,743.75,10129.193633870302,133.33333333333337
30,155.6875,2491.235632183908,737.5,8833.015868117927,137.5
30,160.6875,2157.523148148148,718.75,7930.7558099908,116.66666666666669
30,165.6875,845.1576576576578,725.0,514.4052525057186,116.66666666666674
30,170.6875,799.3243243243244,700.0,493.307362845489,104.16666666666663
30,175.6875,826.0416666666666,700.0,497.96049817038227,104.16666666666669
30,180.6875,759.7916666666667,704.1666666666667,172.13918766154012,56.25
30,185.6875,773.5042735042736,712.5,162.72332601446473,50.0
30,190.6875,761.8589743589744,712.5,151.54099544956262,29.166666666666742
30,195.6875,757.051282051282,712.5,145.30654808018718,29.166666666666742
30,200.6875,761.25,708.3333333333334,134.23904455344234,31.25
30,205.6875,761.965811965812,712.5,150.22272538292094,33.33333333333337
30,210.6875,749.0384615384617,708.3333333333334,147.18813527588392,37.5
30,215.6875,777.2435897435896,704.1666666666667,205.85776133955625,45.83333333333337
30,220.6875,791.3377192982455,708.3333333333334,211.0218008422207,52.08333333333337
30,225.6875,783.5470085470085,704.1666666666667,216.93419026857518,50.000000000000114
30,230.6875,782.3464912280701,727.0833333333333,222.61716684780566,72.91666666666663
30,235.6875,780.7692307692307,745.8333333333334,200.0493711554353,54.16666666666674
30,240.6875,803.6184210526317,760.4166666666666,207.30414943318024,43.75
30,245.6875,791.9956140350878,758.3333333333333,163.5588096510782,25.000000000000114
30,250.6875,797.5877192982455,758.3333333333333,172.39489437007126,37.499999999999886
30,255.6875,815.8783783783783,762.5,184.3166962581511,41.66666666666663
30,260.6875,819.9324324324323,758.3333333333333,176.99517177736564,62.5
30,265.6875,809.4594594594596,729.1666666666666,188.39459592507896,54.16666666666663
30,270.6875,827.0833333333335,727.0833333333333,198.05978534631555,54.16666666666663
30,275.6875,797.072072072072,691.6666666666666,192.4672913551155,33.33333333333337
30,280.6875,794.4819819819819,691.6666666666666,192.44020148559,33.33333333333326
30,285.6875,790.3153153153153,691.6666666666666,177.1882969260881,37.5
30,290.6875,786.9517543859647,691.6666666666666,176.8594134162953,37.5
30,295.6875,812.1621621621622,695.8333333333333,179.66494659421286,41.66666666666663
30,300.6875,792.2149122807018,695.8333333333333,163.6041003872018,41.66666666666663
30,305.6875,803.2894736842105,712.5,173.64111484057818,39.583333333333314
30,310.6875,793.5307017543859,722.9166666666667,172.08451226724907,47.91666666666674
30,315.6875,788.6752136752139,725.0,164.1280030555863,58.33333333333337
